timestep,timestamp,price_per_kwh,grid_import_total_kw,grid_export_total_kw,grid_import_a_kw,grid_export_a_kw,grid_q_a_kvar,grid_import_b_kw,grid_export_b_kw,grid_q_b_kvar,grid_import_c_kw,grid_export_c_kw,grid_q_c_kvar,bus_001_voltage_a_pu,bus_001_angle_a_deg,bus_001_p_load_a_kw,bus_001_q_load_a_kvar,bus_001_voltage_b_pu,bus_001_angle_b_deg,bus_001_p_load_b_kw,bus_001_q_load_b_kvar,bus_001_voltage_c_pu,bus_001_angle_c_deg,bus_001_p_load_c_kw,bus_001_q_load_c_kvar,bus_002_voltage_a_pu,bus_002_angle_a_deg,bus_002_p_load_a_kw,bus_002_q_load_a_kvar,bus_002_voltage_b_pu,bus_002_angle_b_deg,bus_002_p_load_b_kw,bus_002_q_load_b_kvar,bus_002_voltage_c_pu,bus_002_angle_c_deg,bus_002_p_load_c_kw,bus_002_q_load_c_kvar,bus_003_voltage_a_pu,bus_003_angle_a_deg,bus_003_p_load_a_kw,bus_003_q_load_a_kvar,bus_003_voltage_b_pu,bus_003_angle_b_deg,bus_003_p_load_b_kw,bus_003_q_load_b_kvar,bus_003_voltage_c_pu,bus_003_angle_c_deg,bus_003_p_load_c_kw,bus_003_q_load_c_kvar,bus_004_voltage_a_pu,bus_004_angle_a_deg,bus_004_p_load_a_kw,bus_004_q_load_a_kvar,bus_004_voltage_b_pu,bus_004_angle_b_deg,bus_004_p_load_b_kw,bus_004_q_load_b_kvar,bus_004_voltage_c_pu,bus_004_angle_c_deg,bus_004_p_load_c_kw,bus_004_q_load_c_kvar,bus_005_voltage_a_pu,bus_005_angle_a_deg,bus_005_p_load_a_kw,bus_005_q_load_a_kvar,bus_005_voltage_b_pu,bus_005_angle_b_deg,bus_005_p_load_b_kw,bus_005_q_load_b_kvar,bus_005_voltage_c_pu,bus_005_angle_c_deg,bus_005_p_load_c_kw,bus_005_q_load_c_kvar
10,2026-01-01 10:00:00,0.5,323.5519568347443,0.0,102.89418223398899,0.0,57.636503414766324,114.29852747893803,0.0,61.96012771000476,106.3592471218173,0.0,59.86840054154243,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9946262293318072,-0.200296140151346,68.0,22.36,0.9939181403455591,-120.24235958697398,59.49999999999999,19.565,0.9945572560140679,119.77456925883965,42.5,13.975,0.9915328320156822,-0.3569700458948137,34.0,11.175,0.9852835319715909,-120.53203474047706,61.2,20.115,0.9868091814865823,119.3444531939182,40.8,13.41,0.9906724148996294,-0.4554932827967911,24.480000000000004,8.040000000000001,0.9816488530605374,-120.59233451949379,36.72,12.06,0.9806416740931551,119.07086808062013,61.2,20.1,0.9944322682770569,-0.09051156453256941,45.9,15.075,0.9961480786030493,-120.06137593232778,25.5,8.375,0.9957177427085596,119.98290462215158,30.6,10.05
11,2026-01-01 11:00:00,0.48,272.7362570963105,0.0,86.10007012828551,0.0,55.80731885919047,97.17252137424754,0.0,60.00479183379482,89.46366559377745,0.0,57.9692100919756,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9951300180083308,-0.15518127386081895,66.0,21.680000000000003,0.9944419303170531,-120.19597768530343,57.74999999999999,18.97,0.9950630949393435,119.82041818469087,41.25,13.55,0.9921289751954233,-0.3070525573471272,33.0,10.85,0.9860683263780452,-120.47678085544379,59.4,19.53,0.9875516609670127,119.40347305133884,39.6,13.02,0.9912942332140909,-0.4025349939253619,23.76,7.800000000000001,0.9825438454611686,-120.53524828897018,35.64,11.7,0.9815725902775166,119.13835435902593,59.4,19.5,0.995624431910089,0.002342927237070878,44.55,14.625,0.9972832756122385,-119.96948270955826,24.75,8.125,0.9968676690673958,120.073360215543,29.7,9.75
12,2026-01-01 12:00:00,0.46,290.64304713219684,0.0,92.03926597678667,0.0,55.24099270145974,103.08612553078305,0.0,59.48022185772436,95.51765562462712,0.0,57.60769653572338,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9950150355039032,-0.17320265559903755,65.0,21.36,0.9943243102873182,-120.21336500284046,56.87499999999999,18.69,0.9949267420107893,119.80254357503503,40.625,13.35,0.9913838524407532,-0.3805500293819449,32.5,10.675,0.9853855833386335,-120.5479540285774,58.5,19.215000000000003,0.9868228050491283,119.33358172976804,39.0,12.81,0.9897588582454445,-0.5365699041545416,23.4,7.7,0.9810958633504842,-120.6680342824268,35.1,11.55,0.980104061424079,119.00923031610277,58.5,19.25,0.9958117165263919,0.005164139159889519,43.875,14.4,0.9974307674531765,-119.9670767395641,24.375,8.0,0.9970123088067955,120.07485983662653,29.25,9.6
13,2026-01-01 13:00:00,0.45,292.74162533899494,0.0,92.82396762253927,0.0,54.45053362579062,103.68359058211608,0.0,58.60002378719976,96.23406713433955,0.0,56.739641732221926,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9950339272412378,-0.17671766871735328,64.0,21.040000000000003,0.994356096816782,-120.21629978308864,56.0,18.41,0.9949504875148671,119.79938942751544,40.0,13.15,0.9914476830059531,-0.3816934176099604,32.0,10.525,0.9855442515561005,-120.54650014632836,57.6,18.945,0.9869622276441404,119.33685457549056,38.4,12.63,0.9898353792742154,-0.5362291245495394,23.040000000000003,7.58,0.9813090298679918,-120.66567138134563,34.56,11.37,0.9803365749365429,119.01663699095509,57.6,18.95,0.9957160737795071,-0.008406072806924425,43.2,14.22,0.9973149293683039,-119.98119435767944,24.0,7.9,0.9969041092261959,120.06018996658578,28.8,9.48
14,2026-01-01 14:00:00,0.47,317.77340090051865,0.0,101.08669391035913,0.0,55.96977125410588,112.19093969445427,0.0,60.19349641905634,104.49576729570528,0.0,58.192391831856824,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9947537207744921,-0.19783427637564657,66.0,21.680000000000003,0.9940628405135742,-120.23864321894659,57.74999999999999,18.97,0.9946810638417058,119.77769057447533,41.25,13.55,0.9915035187212579,-0.37109329895080717,33.0,10.85,0.9854312543565028,-120.54105064607708,59.4,19.53,0.9869075462069846,119.33890330133984,39.6,13.02,0.9903735479086879,-0.48947436914610115,23.76,7.800000000000001,0.9816045603372241,-120.62262249376622,35.64,11.7,0.9806218672559169,119.05021428548176,59.4,19.5,0.9947513755570886,-0.07744210144847531,44.55,14.625,0.9964115685980621,-120.0491643617259,24.75,8.125,0.9959920686234713,119.99368661559421,29.7,9.75
15,2026-01-01 15:00:00,0.52,389.5275269311925,0.0,124.74850707145626,0.0,59.533946529749635,136.47293087465647,0.0,63.98118391202072,128.30608898507978,0.0,61.83973263714678,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.993995211636883,-0.25987210297122226,70.0,23.0,0.993268181233276,-120.30317000309167,61.24999999999999,20.125,0.993924233611138,119.71431685705655,43.75,14.375,0.9908089728446803,-0.42140192221954176,35.0,11.5,0.9843709503540016,-120.60181542155624,63.0,20.7,0.985937921870252,119.2708812396361,42.0,13.8,0.9899227648061758,-0.5230016187246581,25.200000000000003,8.28,0.9806253968866877,-120.6639686417242,37.8,12.42,0.9795807394584446,118.9887267254665,63.0,20.7,0.9928606014298647,-0.2166740489649615,47.25,15.525,0.994636872602344,-120.18648129773572,26.25,8.625,0.9941902653275374,119.85930126636318,31.5,10.35
16,2026-01-01 16:00:00,0.68,550.1964168652123,0.0,177.3642068656062,0.0,70.55191425611463,191.20179425680456,0.0,75.89664121279748,181.6304157428016,0.0,73.46227794287805,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9921659290662945,-0.39331089810530956,82.0,26.960000000000004,0.9913030597409591,-120.44410016131565,71.75,23.59,0.992065385535784,119.57632003730014,51.25,16.85,0.9884278985253367,-0.5834471709435869,41.0,13.475,0.9808376239754131,-120.79570996728907,73.8,24.255,0.9826584182017629,119.05405637450987,49.2,16.169999999999998,0.9873901930907547,-0.7032669858385996,29.52,9.7,0.9764326479049917,-120.86896810842025,44.28,14.55,0.9751739698747166,118.72091115147268,73.8,24.25,0.9892869606457663,-0.45839500679649803,55.35,18.18,0.991374014156102,-120.42253228446955,30.75,10.1,0.9908401602144294,119.63133705492903,36.9,12.12
17,2026-01-01 17:00:00,0.95,703.8435758298908,0.0,227.54800821931536,0.0,82.72506980783494,243.69870437203468,0.0,89.06524801246582,232.5968632385408,0.0,86.33972442233947,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9903448426028388,-0.5184645202101087,95.0,31.24,0.9893330148289319,-120.5773989351403,83.125,27.335,0.9902086682396893,119.44624039284102,59.375,19.525,0.9861019677395119,-0.7318550159009953,47.5,15.6,0.9772551173764419,-120.97885833156646,85.5,28.08,0.9793470342511071,118.84594451412596,57.0,18.72,0.9850110287049986,-0.8630184346100997,34.2,11.240000000000002,0.9722443515699264,-121.05550477023357,51.3,16.86,0.9707450459910818,118.46570403595828,85.5,28.1,0.9858188901597947,-0.6826363142198288,64.125,21.06,0.9882440994495715,-120.64056197158358,35.625,11.7,0.9876130482134273,119.42216982833817,42.75,14.04
18,2026-01-01 18:00:00,1.1,743.7951159170734,0.0,240.60525034437384,0.0,87.25444583640765,257.45476762580387,0.0,93.8407301326303,245.7350979468957,0.0,90.86439172661287,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9898002139439577,-0.5488821534529263,100.0,32.88,0.9887490195789413,-120.61089106570475,87.5,28.77,0.9896772837885252,119.4143542520122,62.5,20.55,0.9859103243189399,-0.7238917519630712,50.0,16.425,0.9766186915487642,-120.9837286373301,90.0,29.565,0.9788375227285222,118.83228171325406,60.0,19.71,0.9854486332696295,-0.8086380972577677,36.0,11.840000000000002,0.9720442810824356,-121.01002272740757,54.0,17.76,0.9704846225745091,118.48659888647218,90.0,29.6,0.9844012574848863,-0.7688760359056411,67.5,22.185,0.9869785601182022,-120.7243320822591,37.5,12.325,0.9863186893203147,119.342252015051,45.0,14.79
19,2026-01-01 19:00:00,1.0,716.9263309837436,0.0,231.98607741984404,0.0,83.62494101289909,248.09175794524248,0.0,89.88488882110018,236.8484956186571,0.0,86.97403461707508,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9901872856659811,-0.5297760510544732,96.0,31.56,0.9891846629282666,-120.58926890297664,84.0,27.615,0.9900792428568429,119.4350045803757,60.0,19.725,0.9864804652812839,-0.6952282439692553,48.0,15.775,0.9775792994795229,-120.94439322119042,86.4,28.395,0.9797179421220956,118.87929505632408,57.6,18.93,0.9860689004474207,-0.773914041614972,34.56,11.36,0.9732256856893345,-120.9671266619735,51.84,17.04,0.971745234099538,118.55065973430487,86.4,28.4,0.9849273537848908,-0.7468777789008335,64.8,21.285,0.9874056956419858,-120.70413500080087,36.0,11.825,0.986776314533145,119.35976596249502,43.2,14.19
20,2026-01-01 20:00:00,0.8,670.3210018732166,0.0,217.21183165111344,0.0,74.07299985618789,231.50736455788567,0.0,79.60336266364827,221.60180566421744,0.0,77.08447948769629,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9910191865097919,-0.502510663510694,85.0,27.92,0.990129376558167,-120.55513777497768,74.375,24.43,0.9909168261198571,119.46613518465706,53.125,17.45,0.9871396142719551,-0.700098490841907,42.5,13.975,0.9792608138520429,-120.92051095592497,76.5,25.155,0.9811433471498879,118.9233267071589,51.0,16.77,0.9860629647269256,-0.8246854191019736,30.6,10.06,0.974686502488584,-120.99663766782574,45.9,15.089999999999998,0.9733684100169759,118.57686298629501,76.5,25.15,0.9863690149915745,-0.6942691337786681,57.375,18.855,0.9885557358152259,-120.65659984192298,31.875,10.475,0.9879954838716681,119.39965708669125,38.25,12.57
21,2026-01-01 21:00:00,0.6,550.9316126719275,0.0,178.62406506867816,0.0,60.508122736729746,190.22346508247568,0.0,64.87081528967457,182.08408252077368,0.0,62.686004565655416,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9926245575631261,-0.4130700275103033,70.0,23.0,0.991910450598831,-120.45636591042354,61.24999999999999,20.125,0.9925663487615262,119.56132189103133,43.75,14.375,0.9894338979727698,-0.5750500621210283,35.0,11.5,0.9830007690076833,-120.75583564029162,63.0,20.7,0.9845686688237637,119.11666184944825,42.0,13.8,0.9885464714471462,-0.6769350649928653,25.200000000000003,8.28,0.9792499797793722,-120.81816168228511,37.8,12.42,0.9782024822169841,118.83371711232594,63.0,20.7,0.9888056540787622,-0.5703572757245998,47.25,15.525,0.990617291970693,-120.5395823538074,26.25,8.625,0.9901657081645542,119.50676053261738,31.5,10.35
22,2026-01-01 22:00:00,0.45,434.16930839539447,0.0,140.85782903519376,0.0,47.196116565481354,149.84565547288807,0.0,50.497842494694865,143.46582388731264,0.0,48.686743526206705,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9942021917838011,-0.3259367668712764,55.0,18.08,0.993653429389999,-120.35990094209494,48.125,15.82,0.994175114162016,119.65406058674586,34.375,11.3,0.9916623258801831,-0.45561276063422695,27.5,9.05,0.9866452223110906,-120.59703824133679,49.5,16.290000000000003,0.9878920835279178,119.30344553270716,33.0,10.86,0.9909225584636009,-0.5383736383368756,19.8,6.5,0.9836680395172627,-120.64902534658252,29.7,9.75,0.9828754642370787,119.07960408112423,49.5,16.25,0.9912099395067477,-0.4490375650281839,37.125,12.195,0.9926395449360511,-120.42502517161577,20.625,6.775,0.9922928962930119,119.61132900986064,24.75,8.13
23,2026-01-01 23:00:00,0.36,401.60152970304046,0.0,130.6075711588244,0.0,39.57435906666294,138.15306560453936,0.0,42.31778794880675,132.84089293967668,0.0,40.85401504720479,1.0,0.0,0.0,0.0,1.0,-119.99999999999999,0.0,0.0,1.0,119.99999999999999,0.0,0.0,0.9948300148744821,-0.30885791837753757,46.0,15.12,0.9943707019893214,-120.33729076068394,40.25,13.23,0.994803387952655,119.67432813792232,28.75,9.45,0.9920643094325897,-0.47226975016619716,23.0,7.55,0.9878701062198756,-120.59060371889906,41.4,13.59,0.9889038690355314,119.32623384522282,27.6,9.06,0.9906790838712317,-0.6003601296748095,16.56,5.44,0.9846088930810977,-120.69345101654113,24.84,8.16,0.9839371328730216,119.07979337569513,41.4,13.6,0.9923294547956495,-0.4115858129028203,31.05,10.215,0.9935229149812517,-120.3916484131381,17.25,5.675,0.993230061009435,119.63867234484597,20.7,6.81
