timestep,timestamp,bess_b1_p_net_a_kw,bess_b1_q_injection_a_kvar,bess_b1_p_net_b_kw,bess_b1_q_injection_b_kvar,bess_b1_p_net_c_kw,bess_b1_q_injection_c_kvar,bess_b1_p_net_total_kw,bess_b1_soc_kwh,bess_b1_soc_frac,pv_pv1_available_a_kw,pv_pv1_generation_a_kw,pv_pv1_q_injection_a_kvar,pv_pv1_available_b_kw,pv_pv1_generation_b_kw,pv_pv1_q_injection_b_kvar,pv_pv1_available_c_kw,pv_pv1_generation_c_kw,pv_pv1_q_injection_c_kvar,pv_pv1_generation_total_kw
13,2026-01-01 13:00:00,13.333333333333334,0.0,13.333333333333334,0.0,13.333333333333334,0.0,40.0,86.00000000000057,0.8600000000000056,83.33333333333333,83.33333333333333,0.0,83.33333333333333,83.33333333333333,0.0,83.33333333333333,83.33333333333333,0.0,250.0
14,2026-01-01 14:00:00,4.912280701754384,0.0,4.912280701754384,0.0,4.912280701754384,0.0,14.736842105263154,100.00000000000057,1.0,71.66666666666667,71.66666666666667,0.0,71.66666666666667,71.66666666666667,0.0,71.66666666666667,71.66666666666667,0.0,215.0
15,2026-01-01 15:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.00000000000057,1.0,53.333333333333336,53.333333333333336,0.0,53.333333333333336,53.333333333333336,0.0,53.333333333333336,53.333333333333336,0.0,160.0
16,2026-01-01 16:00:00,-7.950997760777847e-17,0.0,-7.950997760777847e-17,0.0,-7.950997760777847e-17,0.0,-2.385299328233354e-16,100.00000000000057,1.0,31.666666666666668,31.666666666666668,0.0,31.666666666666668,31.666666666666668,0.0,31.666666666666668,31.666666666666668,0.0,95.0
17,2026-01-01 17:00:00,-1.833333333333331,0.0,-1.833333333333331,0.0,-1.833333333333331,0.0,-5.499999999999993,94.21052631579005,0.9421052631579004,13.333333333333334,13.333333333333334,0.0,13.333333333333334,13.333333333333334,0.0,13.333333333333334,13.333333333333334,0.0,40.0
18,2026-01-01 18:00:00,-13.333333333333334,0.0,-13.333333333333334,0.0,-13.333333333333334,0.0,-40.0,52.10526315789531,0.5210526315789531,1.6666666666666667,1.6666666666666667,0.0,1.6666666666666667,1.6666666666666667,0.0,1.6666666666666667,1.6666666666666667,0.0,5.0
19,2026-01-01 19:00:00,-13.333333333333334,0.0,-13.333333333333334,0.0,-13.333333333333334,0.0,-40.0,10.000000000000568,0.10000000000000568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2026-01-01 20:00:00,4.786328851010592e-17,0.0,4.786328851010592e-17,0.0,4.786328851010592e-17,0.0,1.4358986553031777e-16,10.000000000000568,0.10000000000000568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2026-01-01 21:00:00,1.6786785246809476e-17,0.0,1.6786785246809476e-17,0.0,1.6786785246809476e-17,0.0,5.0360355740428424e-17,10.000000000000568,0.10000000000000568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2026-01-01 22:00:00,0.7017543859649127,0.0,0.7017543859649127,0.0,0.7017543859649127,0.0,2.105263157894738,12.000000000000568,0.12000000000000569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2026-01-01 23:00:00,13.333333333333334,0.0,13.333333333333334,0.0,13.333333333333334,0.0,40.0,50.00000000000057,0.5000000000000057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
